Production Budget,Domestic Gross
110000,10000000
200000,8000000
100000,3000000
245000,11000000
3900000,9000000
379000,2800000
558000,900000
672000,10000000
200000,2000000
439000,1438000
325000,2500000
609000,1782000
1500000,163245
1300000,2868000
1488000,184925485
2000000,4000000
1644000,4000000
1500000,9000000
2777000,33711566
3900000,198680470
2000000,9172000
1288000,6000000
2280000,83320000
858000,102797000
134000,4000000
1039000,10462500
2627000,5363000
2361000,3500000
5200000,2000000
2160000,9132000
1250000,11000000
1500000,7000000
3180000,6600000
2000000,24464742
2100000,23600000
6000000,20400000
2000000,7800000
3700000,2956000
3000000,9012000
1600000,5400000
1000000,7800000
2900000,85000000
3768785,8000000
8250000,30000000
1200000,7000000
1800000,8000000
2300000,11000000
730000,8000000
4000000,36000000
2540000,7200000
1250000,2500000
4000000,87400000
1650000,30500000
210000,5000000
5000000,36000000
658000,23800000
5000000,15000000
910000,9600000
5000000,28200000
1200000,7000000
6000000,12500000
4500000,10400000
4000000,14400000
1000000,9000000
13500000,80000000
6000000,42000000
500000,271736
1200000,2000000
5000000,11000000
3000000,33300000
3000000,17570324
5000000,11000000
3500000,12800000
2883848,25000000
15000000,73000000
4000000,21750000
3000000,18600000
3000000,10400000
12000000,30000000
12000000,7900000
4000000,8200000
3000000,10000000
2900000,5000000
2000000,7600000
6000000,43700000
3200000,8000000
2000000,9250000
10000000,39100000
19000000,13680000
4500000,3500000
15000000,37495385
2000000,13129846
17000000,10000000
2686000,6600000
2500000,10000000
1000000,37600000
9400000,46300000
1000000,16067035
4000000,11744471
42000000,57000000
19000000,4750000
1800000,9164370
2000000,24800000
6000000,102300000
17000000,72000000
560000,1537860
3000000,51100000
8200000,163214286
20000000,15473333
5800000,6800000
3800000,14873
11000000,111721000
9000000,63600000
3500000,12000000
3000000,13000000
15000000,34562222
3900000,28350000
3500000,13000000
200000,3500000
2000000,24379978
12000000,22744718
9500000,43100000
600000,4300000
1200000,6100000
1455000,2620000
114000,12000000
10500000,56700000
1800000,6800000
747000,44566
5800000,33395426
10000000,37402877
3200000,33395426
20000000,8000000
3600000,44785053
5000000,5321508
6000000,509424
200000,13500000
20000000,31678778
6000000,102308900
24000000,33208099
8000000,22800000
4000000,6000000
22000000,5000000
12000000,62500000
11000000,2200000
3500000,81600000
1000000,9000000
600000,34505110
3716946,3500000
3000000,17489009
18000000,24911670
25000000,29548291
9000000,80500000
6500000,12376563
2500000,12300000
150000,15200000
3000000,4000000
2200000,41158757
7200000,43800000
1700000,9700000
7000000,134966411
3500000,12600000
25000,45000000
87000,3100000
2000000,18016290
1800000,8800000
4638783,8000000
7000000,35400000
5500000,15700000
777000,115000000
2000000,18344729
5500000,159616327
12000000,202347346
2600000,119500000
7000000,26533200
1600000,4420000
140000,26572439
13000000,57300000
500000,31559560
2800000,86300000
14000000,116000000
4000000,15000000
7000000,21000000
11000000,20000000
5000000,41833347
12000000,260000000
1200000,140510017
400000,3427696
3000000,20123742
4400000,108981275
7000000,25000000
3800000,23689877
1200000,887000
4400000,36145695
2800000,48570885
1000000,28262574
3000000,13200000
5000000,8000000
1800000,25878153
1000000,117235147
23000000,52614445
500000,17000000
100000,7000000
10000000,36000000
4000000,38251425
7000000,1000000
11000000,460998007
26000000,50800000
14000000,25011000
14000000,13800000
21600000,12000000
14000000,46800000
600000,15000000
20000000,166000000
3400000,31063038
14000000,1000000
12000000,19000000
3000000,32653000
11000000,20388920
20000000,102922376
6000000,181813770
15000000,98800000
3000000,141600000
3000000,3446749
325000,47000000
24000000,13000000
55000000,134218018
5000000,7100000
15000000,50000000
6000000,391942
1500000,5100000
12500000,7000000
9000000,80930630
12000000,22673340
8000000,76657000
8000000,43000000
31000000,70300000
170000,14000
8500000,29200000
35000000,82258456
31500000,78800000
4000000,20008693
2700000,37799643
16000000,8400000
32000000,34175000
20000000,35841901
35000000,1500000
6500000,31899000
3500000,8000000
350000,10000000
1000000,21378361
40000000,7000000
5100000,9709597
5000000,26010864
200000,8750000
3500000,83453539
35000000,27107960
10000000,15198912
400000,89134
23000000,290271960
19000000,44017374
5500000,4865000
22000000,15716828
27000000,57229890
20000000,2000000
4500000,47923795
15000000,67182787
6000000,39846344
550000,39754601
6000000,52302978
100000,287000
15000000,69847348
18000000,23380203
44000000,3484331
20000000,49823037
17000000,2110050
250000,23894000
12000000,12200000
33500000,50000000
1250000,21722776
18000000,13400000
6500000,42488161
12000000,37400000
54000000,108185706
28000000,54800000
18000000,6000000
10000000,85300000
9300000,19571091
18000000,13747234
20000000,18826490
3000000,5732587
14000000,35856053
5000000,19032000
5500000,57159946
5000000,14600000
1000000,17985000
6000000,25244700
2500000,25533818
10000000,2000000
12000000,2104164
20000000,248159971
15000000,30000000
11000000,31672000
10000000,6000000
8000000,24474312
13500000,6118683
12500000,7000000
5000000,12592907
5000000,20659423
4000000,109492484
12000000,78912963
10700000,74706019
20000000,38264085
2000000,24600832
21000000,45785720
28000000,32656328
18000000,5675599
20500000,69701637
22000000,52767889
16000000,53977250
4500000,27092880
2250000,36690067
5000000,10751126
3250000,6965361
5000000,3707583
17000000,26918576
46000000,4408636
12000000,11487676
8000000,20036244
14000000,47212904
2500000,14400000
10500000,435110554
1200000,255000
12500000,20959585
15000000,177200000
400000,126387
10100000,10143618
12000000,74433837
10000000,25697647
5952000,2120439
7000000,90463574
5000000,12232628
375000,2400000
32500000,309205079
39000000,59950623
10000000,29500000
36000000,55500000
15000000,61400000
7000000,1246141
1305000,909000
25000000,44942821
15000000,8921050
27500000,67900000
27000000,21500000
10000000,20766000
8000000,589308
12000000,39012241
3250000,20605209
30000000,5321508
18000000,76471046
1500000,2300000
8200000,80000000
9000000,13075390
4500000,81198894
2600000,32980880
550000,5269990
15000000,234760478
28000000,179880271
8000000,90815558
18000000,26400000
27000000,21300000
30000000,242212467
11000000,148168459
25000000,5778353
1250000,4700000
8000000,62599495
7500000,5142858
1800000,25504513
18000000,51973029
10000000,8801940
6400000,38019031
15000000,15136870
48000000,25928721
45000000,27447471
27500000,27187653
3000000,21163999
1500000,1690913
19000000,212259762
1300000,210904
10000000,33000000
2200000,21930418
10000000,35073978
18000000,19739000
44000000,150415432
30000000,50327960
2000000,390659
27000000,10618813
25000000,11603545
17900000,6905861
6900000,41410568
3500000,5804262
12000000,65532576
4000000,14237880
10000000,17536256
26000000,33200000
10000000,36230219
3000000,11052713
7000000,10803211
20000000,18400000
31000000,79096868
15000000,93589701
15000000,9929135
40000000,1641825
25000000,11100000
30000000,16295774
3000000,19472057
15000000,1953732
18000000,6734844
35000000,2000000
5000000,12947763
25000000,15502112
4500000,1500000
18000000,1305114
15000000,179800601
12000000,4884663
40000000,49851591
16000000,5900000
3000000,20966644
17000000,85160248
8000000,52287414
175000,7137502
4700000,8025872
17000000,2315000
8800000,174803506
18000000,41382841
10000000,52293000
24000000,109713132
12000000,79817937
30000000,38747385
6000000,137963328
2000000,7369373
2600000,3147950
350000,4000000
100000,5228617
10000000,3000000
3500000,14000000
16000000,14792779
5000000,44793222
25000000,76270454
3500000,5923044
4000000,800000
1100000,1355728
40000000,14375181
20000000,153665036
15000000,65192350
29000000,5899797
22700000,38119483
23000000,15728335
13000000,53424681
17000000,11227824
6500000,54215416
40000000,51185000
8500000,32222567
1900000,4600000
14000000,156645693
1000000,14564000
15000000,30857000
16500000,43848100
30000000,38122000
25000000,43984987
3000000,7888000
15000000,167780960
18000000,59735548
13000000,123922370
25000000,16118077
5000000,17768757
4000000,3468572
6200000,9205924
1500000,11806119
18000000,114968774
15000000,73326666
4000000,354704
4000000,13000000
4700000,1705139
2800000,19170001
58000000,53715611
14000000,109306210
70000000,154112492
28000000,81350242
30000000,38413606
3000000,7282851
13000000,49369899
9000000,33244684
16000000,13854000
15000000,111936388
9500000,14114000
6000000,12793213
12300000,48092846
32000000,59450353
7000000,20257000
6000000,14545844
13000000,44726644
7000000,8373585
25000000,172825435
14000000,34700000
15000000,10763469
16400000,95860116
10000000,40485039
18000000,7190505
1200000,24741667
11500000,57469179
10000000,30050028
48000000,197171806
35000000,251188924
6000000,26004026
11000000,49793054
42000000,34667015
16000000,92823546
5000000,6157157
5000000,14343976
1500000,14533681
9000000,10161099
30000000,52210049
70000000,54243125
19000000,58571513
30000000,45892212
6000000,11642254
6000000,22168359
30000000,60857262
40000000,118450002
18000000,26593580
7500000,106593296
20000000,10555348
14000000,70001698
140000,6706368
55000000,63408614
1600000,419428
65000000,119394839
10000000,16667084
30000000,120709866
7700000,882290
70000000,117323878
10000000,16153000
430000,2938000
14000000,178406268
13500000,135265915
3000000,15000000
40000000,88055283
50000000,41476097
47000000,103738726
60000000,82670733
20000000,53976987
22000000,217631306
31000000,53208180
19000000,184208842
13000000,26904572
25000000,46743809
7000000,4372561
26000000,61308153
20000000,21413105
4200000,5835247
49000000,20423389
15000000,285761243
35000000,28317513
26000000,91457688
54000000,66520529
11000000,2000000
8000000,2275557
500000,55000
450000,2712293
40000000,34416893
8500000,15024232
35000,321952
